,기초지자체,기타관광,레저스포츠,문화관광,쇼핑,숙박,역사관광,음식,자연관광,체험관광,외부방문자 수
92,경상북도 구미시,2348107.0,1057168.714285714,2029195.0,3028649.0,2208427.0,593236.6190476189,11076796.714285713,155003.95238095237,32773.0,22601856.0
93,경상북도 군위군,373554.0,1742407.714285714,1095299.0,150904.0,414762.0,427920.61904761905,1914010.714285714,190175.95238095237,7283.0,6388817.0
94,경상북도 김천시,3145598.0,867822.0,544612.0,935114.0,1173304.0,1111705.0,3370187.0,301026.0,39904.0,11240701.0
95,경상북도 문경시,1235918.0,361442.7142857143,843898.0,315241.0,1824916.0,1306054.619047619,2505757.7142857146,852347.9523809524,351890.0,9669966.0
96,경상북도 봉화군,1127337.0,27928.0,317418.0,61723.0,536905.0,514978.0,828926.0,638813.0,3375.0,4018452.0
97,경상북도 상주시,1271222.0,1115421.714285714,1607375.0,703096.0,1704262.0,364648.61904761905,3935677.7142857146,750254.9523809524,51048.0,11575505.0
98,경상북도 성주군,470197.0,319076.0,567901.0,198904.0,1798298.0,413103.0,1884865.0,775222.0,86244.0,6474753.0
99,경상북도 안동시,1918520.0,596438.7142857143,1265010.0,2103207.0,1798144.0,2573770.6190476194,4689045.714285715,122544.95238095237,136721.0,15276054.0
100,경상북도 영덕군,412196.0,526635.0,1169239.0,485938.0,1367774.0,81305.0,1565049.0,3572934.0,18998.0,9003846.0
101,경상북도 영양군,152854.0,21715.71428571429,147211.0,48334.0,225585.0,233050.61904761905,202171.71428571426,424716.9523809524,5321.0,1533445.0
102,경상북도 영주시,1181394.0,51054.71428571429,630214.0,576367.0,1107177.0,1505443.619047619,2541985.7142857146,169450.95238095237,59768.0,7895434.0
103,경상북도 영천시,1308181.0,1750297.0,949986.0,875427.0,1114595.0,1218354.0,3513633.0,564293.0,46474.0,11144838.0
104,경상북도 예천군,900667.0,622520.0,747036.0,140935.0,393691.0,710169.0,2135086.0,330562.0,319469.0,6103733.0
105,경상북도 울릉군,300878.0,9.714285714286234,394795.0,6827.0,230770.0,6129.619047619048,288619.7142857143,432257.9523809524,0.0,1732771.0
106,경상북도 울진군,679155.0,516835.0,626263.0,119363.0,1181194.0,208850.0,1021019.0,2252235.0,738979.0,7147491.0
107,경상북도 의성군,510173.0,1732983.0,646849.0,299615.0,433039.0,723516.0,1384793.0,550080.0,132723.0,6374777.0
108,경상북도 청도군,746915.0,963910.7142857143,872564.0,109082.0,1439196.0,1456498.619047619,2916965.7142857146,348490.9523809524,381415.0,9307352.0
109,경상북도 청송군,109163.0,3975.0,251774.0,49212.0,1313884.0,196941.0,905471.0,1847096.0,88281.0,4569394.0
