기초지자체,기타관광,레저스포츠,문화관광,쇼핑,숙박,역사관광,음식,자연관광,체험관광,외부방문자 수
울산광역시 동구,715762.0,8407.0,2174375.0,1121282.0,1356444.0,50092.0,4326914.0,1921348.0,1751.0,11676375.0
울산광역시 북구,1447525.0,504104.0,898379.0,5386159.0,1133874.0,170914.0,10876388.0,125049.0,25092.0,20567279.0
울산광역시 울주군,6921374.0,1901616.0,1959645.0,1207939.0,2293901.0,880197.0,10938661.0,3224132.0,278892.0,29606358.0
울산광역시 중구,22859.0,92989.0,6024958.0,2623879.0,1720624.0,702409.0,10986649.0,3995.0,14647.0,22193009.0
인천광역시 강화군,923970.0,787972.0,739477.0,1383921.0,2217075.0,1489496.0,5017148.0,2238612.0,263109.0,15060631.0
인천광역시 계양구,165319.0,375703.0,3563304.0,5981374.0,1083270.0,103845.0,12719543.0,453342.0,46044.0,24491746.0
인천광역시 남동구,465.0,735937.0,6052279.0,12601699.0,3257953.0,234606.0,23129183.0,406837.0,129871.0,46548830.0
인천광역시 동구,715.0,120185.0,700363.0,6283054.0,151125.0,5991.0,1434527.0,246182.0,358.0,8942322.0
인천광역시 미추홀구,3972103.0,106212.0,4779935.0,14217701.0,1796691.0,693480.0,13191242.0,3876.0,2326.0,38763567.0
인천광역시 부평구,11068.0,272880.0,3957824.0,15681871.0,2186020.0,210726.0,20244202.0,426.0,5960.0,42570977.0
인천광역시 서구,373029.0,3592286.0,5890128.0,9025123.0,1617827.0,121155.0,24803487.0,110679.0,13209.0,45546922.0
인천광역시 연수구,277289.0,1493951.0,5370845.0,12445888.0,3853489.0,150347.0,16026848.0,38876.0,11901.0,39669433.0
인천광역시 옹진군,508611.0,516700.0,48532.0,45778.0,1562892.0,17038.0,1456018.0,1526292.0,54785.0,5736647.0
인천광역시 중구,24098107.0,1740883.0,1566795.0,2768880.0,5021817.0,51059.0,11006955.0,2209658.0,163390.0,48628030.0
전라남도 강진군,680219.0,553322.0,598801.0,123364.0,458022.0,876219.0,1011697.0,712474.0,33516.0,5047634.0
전라남도 고흥군,980317.0,110514.0,803873.0,141399.0,802528.0,78773.0,898303.0,2269364.0,30946.0,6115894.0
전라남도 곡성군,1414336.0,461674.0,838190.0,151602.0,502984.0,217150.0,1288615.0,99044.0,3484.0,4977078.0
전라남도 광양시,709297.0,198218.0,898744.0,2731440.0,1806016.0,107942.0,4924755.0,616462.0,190421.0,12183052.0
전라남도 구례군,215537.0,34640.0,594442.0,129977.0,821734.0,1707182.0,1169120.0,350143.0,178400.0,5201175.0
전라남도 나주시,1478043.0,1282868.0,1417899.0,561437.0,1582856.0,344512.0,7681004.0,172840.0,76639.0,14597951.0
전라남도 담양군,872160.0,395744.0,1218506.0,194551.0,1077366.0,764922.0,7330129.0,1824437.0,159266.0,13837220.0
전라남도 목포시,5811674.0,90463.0,2862310.0,2147926.0,2865720.0,28412.0,8043699.0,872353.0,6819.0,22729375.0
전라남도 무안군,1426652.0,1160986.0,1031229.0,1750107.0,1365921.0,134572.0,5223165.0,1276964.0,7357.0,13376954.0
전라남도 보성군,1701557.0,311608.0,516931.0,209104.0,720617.0,186108.0,1360780.0,995620.0,297747.0,6300197.0
전라남도 순천시,5553037.0,698721.0,1106777.0,2303232.0,1885036.0,1521593.0,8988958.0,424730.0,50021.0,22532105.0
전라남도 신안군,2132628.0,18995.0,928693.0,36229.0,1227459.0,56231.0,552813.0,1332688.0,4025.0,6289824.0
전라남도 여수시,2470909.0,775197.0,3123745.0,1493243.0,5376309.0,750285.0,8896200.0,1506187.0,31262.0,24423336.0
전라남도 영광군,1393391.0,333153.0,950202.0,119437.0,559449.0,709937.0,1929005.0,616850.0,9203.0,6620693.0
전라남도 영암군,716834.0,1800328.0,886706.0,51409.0,1700677.0,1088988.0,2100305.0,936718.0,31106.0,9313164.0
전라남도 완도군,2460665.0,30589.0,320677.0,133328.0,531299.0,103005.0,547839.0,1172760.0,1166.0,5301330.0
전라남도 장성군,914517.0,926652.0,1260173.0,79887.0,871127.0,1229929.0,3147492.0,728268.0,34933.0,9192978.0
전라남도 장흥군,295870.0,529360.0,871816.0,545674.0,503616.0,173656.0,1010768.0,781286.0,3065.0,4715065.0
전라남도 진도군,364992.0,66669.0,451126.0,108073.0,1698681.0,276475.0,735648.0,782177.0,11733.0,4495529.0
전라남도 함평군,354995.0,846220.0,1375339.0,136807.0,303144.0,158782.0,1735871.0,852680.0,3749.0,5767587.0
전라남도 해남군,1278906.0,558905.0,1383226.0,183930.0,880157.0,1320665.0,1614546.0,548739.0,51066.0,7820139.0
전라남도 화순군,520424.0,1394382.0,1273631.0,123621.0,1142614.0,941178.0,4806662.0,620645.0,214461.0,11037619.0
전라북도 고창군,354945.0,819712.0,972481.0,74064.0,891684.0,1802111.0,2168248.0,1226156.0,789504.0,9098815.0
전라북도 군산시,2036394.0,528365.0,1471161.0,3331211.0,2747544.0,294054.0,9741776.0,2053273.0,5774.0,22209553.0
전라북도 김제시,1373921.0,724945.0,796132.0,1036683.0,388663.0,1091720.0,4604244.0,568120.0,40588.0,10625016.0
전라북도 남원시,1673998.0,658108.0,614145.0,475732.0,1956185.0,346881.0,2753867.0,447585.0,9025.0,8935616.0
전라북도 무주군,691727.0,826868.0,694126.0,84190.0,2594716.0,211498.0,1487120.0,452000.0,14749.0,7056994.0
전라북도 부안군,1299912.0,216591.0,490141.0,373480.0,2174596.0,508335.0,1831927.0,2231921.0,15817.0,9142722.0
전라북도 순창군,873057.0,199440.0,474177.0,72353.0,324341.0,567540.0,1143913.0,712648.0,93274.0,4460743.0
전라북도 완주군,1362177.0,612509.0,1764239.0,376957.0,3505219.0,819078.0,8918666.0,1042262.0,58888.0,18460178.0
전라북도 익산시,7096543.0,756378.0,2015930.0,1659750.0,1260562.0,540126.0,6686855.0,56738.0,118727.0,20191608.0
